,date,juliandate,NMraw,mag3,mag4,mag5,mag9,mag10,mag17,mag19,mag20,merr1,offset,std,NMcal
192,70428,2454219.59141,22.337,19.209,19.692999999999998,21.636,19.392,18.553,20.748,19.712,20.683000000000003,0.057,3.8994999999999997,0.021159260046435077,18.4375
193,70429,2454220.61072,22.483,19.18,19.643,21.581,19.375,18.527,20.717,19.706,20.688000000000002,0.067,3.873375,0.0182125349298887,18.609625
194,70509,2454230.58967,22.388,19.172,19.68,21.593000000000004,19.374000000000002,18.528,20.711,19.691,20.683000000000003,0.037000000000000005,3.8752500000000003,0.01465556939485823,18.51275
195,70510,2454231.60409,23.62,20.05,20.576999999999998,22.485,20.273,19.422,21.61,20.587,21.565,0.12,4.7673749999999995,0.01675826022347808,18.852625000000003
196,70513,2454234.5929,22.46,19.194000000000003,19.686,21.634,19.381,18.538,20.683000000000003,19.712,20.701,0.048,3.887375000000001,0.029837356738465153,18.572625
197,70514,2454235.67213,22.421999999999997,19.206,19.706,21.596999999999998,19.408,18.552,20.741,19.73,20.701999999999998,0.047,3.901499999999999,0.010796824930017695,18.5205
198,70516,2454237.56663,22.484,19.188,19.697,21.576999999999998,19.384,18.535,20.726,19.711,20.671999999999997,0.053,3.882499999999999,0.012501428489613267,18.6015
199,70517,2454238.60067,22.394000000000002,19.226,19.744,21.635,19.423,,20.738000000000003,19.749000000000002,20.754,0.044000000000000004,3.9298571428571427,0.02076397980020083,18.46414285714286
200,70518,2454239.5825,22.392,19.224,19.724,21.658,19.418,18.472,20.758000000000003,19.74,20.735,0.039,3.9123749999999995,0.04823732253888938,18.479625
201,70519,2454240.61632,22.522,19.227999999999998,19.741,21.612,19.423,,20.746,19.750999999999998,20.54,0.055999999999999994,3.8972857142857125,0.07062038016914551,18.624714285714287
202,70521,2454242.5463400004,22.424,19.23,19.734,21.660999999999998,19.426,18.581,20.781999999999996,19.747,20.741,0.057999999999999996,3.933999999999999,0.019048809486595264,18.490000000000002
203,70522,2454243.5951099996,22.208000000000002,19.185,19.698,21.61,19.403,18.555,20.766,19.717,20.72,0.045,3.902999999999999,0.018345883150402663,18.305000000000003
